Gene,Cell,Selected
CCL1,aDC,0
EBI3,aDC,0
LAMP3,aDC,0
OAS3,aDC,0
INDO,aDC,0
BLK,B-cells,1
CD19,B-cells,1
FCRL2,B-cells,1
KIAA0125,B-cells,1
MS4A1,B-cells,1
PNOC,B-cells,1
SPIB,B-cells,1
TCL1A,B-cells,1
TNFRSF17,B-cells,1
BLNK,B-cells,0
CCR9,B-cells,0
CR2,B-cells,0
HLA-DOB,B-cells,0
HLA-DQA1,B-cells,0
MEF2C,B-cells,0
ABCB4,B-cells,0
BACH2,B-cells,0
BCL11A,B-cells,0
CD72,B-cells,0
COCH,B-cells,0
DTNB,B-cells,0
FAM30A,B-cells,0
GLDC,B-cells,0
GNG7,B-cells,0
IGHA1,B-cells,0
IGHG1,B-cells,0
IGHM,B-cells,0
IGKC,B-cells,0
IGL,B-cells,0
MICAL3,B-cells,0
OSBPL10,B-cells,0
QRSL1,B-cells,0
SCN3A,B-cells,0
SLC15A2,B-cells,0
CD8A,CD8 T cells,1
CD8B,CD8 T cells,1
FLT3LG,CD8 T cells,0
GZMM,CD8 T cells,0
ABT1,CD8 T cells,0
AES,CD8 T cells,0
ARHGAP8,CD8 T cells,0
C12orf47,CD8 T cells,0
C19orf6,CD8 T cells,0
C4orf15,CD8 T cells,0
CAMLG,CD8 T cells,0
CDKN2AIP,CD8 T cells,0
DNAJB1,CD8 T cells,0
GADD45A,CD8 T cells,0
KLF9,CD8 T cells,0
LEPROTL1,CD8 T cells,0
LIME1,CD8 T cells,0
MYST3,CD8 T cells,0
PF4,CD8 T cells,0
PPP1R2,CD8 T cells,0
PRR5,CD8 T cells,0
RBM3,CD8 T cells,0
SF1,CD8 T cells,0
SFRS7,CD8 T cells,0
SLC16A7,CD8 T cells,0
TBCC,CD8 T cells,0
THUMPD1,CD8 T cells,0
TMC6,CD8 T cells,0
TSC22D3,CD8 T cells,0
VAMP2,CD8 T cells,0
ZEB1,CD8 T cells,0
ZFP36L2,CD8 T cells,0
ZNF22,CD8 T cells,0
ZNF609,CD8 T cells,0
ZNF91,CD8 T cells,0
CTSW,Cytotoxic cells,1
GNLY,Cytotoxic cells,1
GZMA,Cytotoxic cells,1
GZMB,Cytotoxic cells,1
GZMH,Cytotoxic cells,1
KLRB1,Cytotoxic cells,1
KLRD1,Cytotoxic cells,1
KLRK1,Cytotoxic cells,1
NKG7,Cytotoxic cells,1
PRF1,Cytotoxic cells,1
KLRF1,Cytotoxic cells,0
RORA,Cytotoxic cells,0
RUNX3,Cytotoxic cells,0
SIGIRR,Cytotoxic cells,0
APOL3,Cytotoxic cells,0
DUSP2,Cytotoxic cells,0
WHDC1,Cytotoxic cells,0
ZBTB16,Cytotoxic cells,0
CCL13,DC,1
CD209,DC,1
HSD11B1,DC,1
CCL17,DC,0
CCL22,DC,0
NPR1,DC,0
PPFIBP2,DC,0
CCR3,Eosinophils,0
IL5RA,Eosinophils,0
SMPD3,Eosinophils,0
THBS1,Eosinophils,0
ABHD2,Eosinophils,0
ACACB,Eosinophils,0
C9orf156,Eosinophils,0
CAT,Eosinophils,0
CLC,Eosinophils,0
CYSLTR2,Eosinophils,0
EMR1,Eosinophils,0
EPN2,Eosinophils,0
GALC,Eosinophils,0
GPR44,Eosinophils,0
HES1,Eosinophils,0
HIST1H1C,Eosinophils,0
