sample,B.naive,B.mem,Plasma,T.CD8,T.CD4.naive,T.CD4.mem.rest,T.CD4.mem.act,T.folli.hel,T.reg,T.g.d,NK.rest,NK.act,Mono,Macro.M0,Macro.M1,Macro.M2,Dendritic.rest,Dendritic.act,Mast.rest,Mast.act,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
CCR_008_Melanocytoma,0,0.004068018,0.001081661,0,0,0.06230708,0,0.002514579,0,0,0.000903458,0.007404301,0.0206394,0,0,0.069366775,0.018506922,0,0.032592169,0,0,0,0.738,-0.005854928,1.078819524,0.219384364
CCR_008_Mel,0,0.079216468,0.005990889,0.018272662,0.028402589,0.09509928,0.115583624,0,0,0,0.026825573,0.001275956,0.033210903,0.055466732,0.043805399,0.121716338,0.055781808,0.024508767,0.103847809,0,0,0,0.033,0.184049741,0.996519169,0.809004798
CCR_008_Nevus,0,0.013769418,0.003428792,0,0,0.0739467,0,0.000356896,0,0,0.005984354,0.00077478,0.019166961,0.038932868,0,0.077969865,0.048997821,0,0.062848357,0,0.000551864,0,0.604,0.008504209,1.072880186,0.346728676
CCR_011_Mel,0,0.012091235,0,0.005143506,0,0.060166296,0,0.014997578,0,0,0,0.007366957,0.012452641,0.073053155,0.004983934,0.069473974,0.024035443,0.000675316,0.039119181,0,0.003845698,0,0.787,-0.010624397,1.089122272,0.327404915
CCR_011_MIS,0,0.020782912,0.004611492,0,0,0.144485132,0,0.045082838,0,0,0,0.006572991,0.013113654,0.03039087,0.047008412,0.113369308,0.046095552,0,0.055915769,0,0.01399413,0.004079868,0.589,0.009973532,1.069675548,0.545502928
CCR_011_Nevus,0,0.043977073,0.007240882,0,0,0.077867973,0,0.016243215,0,0,0,0.029698991,0.024951225,0.016624906,0.008733973,0.024759495,0.024485418,0,0.075305672,0,0,0,0.911,-0.024616353,1.081402701,0.349888825
CCR_021_Mel,0,0.017849444,0.001759385,0.005955973,0,0.139782734,0.010969799,0.019799009,0,0,0.0103747,0,0.011568276,0.034847738,0.013998771,0.091277489,0,0.029191127,0.024257737,0,0.010186221,0,0.655,0.002566226,1.078115854,0.421818404
CCR_021_Nevus,0,0.05131485,0,0,0,0.111181317,0,0,0,0,0,0.005168857,0.079456137,0,0,0.092430784,0,0,0.093698961,0,0,0,0.548,0.015668225,1.070913803,0.433250907
CCR_141_Mel,0,0.014647833,0,0.00023035,0,0.111708759,0.038201553,0.020535901,0,0,0.017184428,0.008506305,0.040011435,0.040365702,0.006222897,0.035881655,0.031888373,0,0.092036905,0,0,0,0.532,0.017475368,1.063222932,0.457422097
CCR_141_MIS,0,0.03795051,0.003907077,0.041901242,0,0.16158125,0.056506975,0,0,0,0.019585284,0,0.033136642,0.047017973,0.012815809,0.07026649,0.016665105,0.004362743,0.149007288,0,0,0,0.164,0.079770433,1.043227972,0.654704388
CCR_141_Nevus,0,0.01630818,0.00394737,0.000146138,0,0.055429331,0,0,0,0,0.001128956,0.00092446,0.009328402,4.57E-05,0,0.008518708,0.001129527,0,0.066100433,0,0,0,0.744,-0.00672887,1.113559938,0.163007237
CCR_142_Mel,0,0.01578332,0.000701392,0,0,0.18755623,0.025773539,0,0,0,0.021600458,0.003713857,0.03983034,0.046816968,0.010650564,0.112682587,0.052922477,0.028804175,0.083363088,0,0.030647022,0,0.334,0.042378751,1.051174073,0.660846016
CCR_142_MIS,0,0.050533131,0,0.00253707,0.028652227,0.125789332,0.050831507,0,0,0,0.003039963,0.040644391,0.041957879,0.06013162,0.047494306,0.121571492,0.066143953,0,0.09031812,0,0,0.006008467,0.294,0.049296453,1.048201657,0.735653458
CCR_142_Nevus,0,0.054761901,0.012703987,0,0,0.128217303,0,0.012101506,0,0,0.020829908,0,0.046858599,0.003488005,0.005861786,0.052106494,0.027935436,0,0.055902284,0,0,0,0.921,-0.025897596,1.079476083,0.420767211
CCR_302_Mel,0,0.013734271,0.006488381,0.025604756,0,0.243863734,0.038545213,0.009560956,0,0,0,0.023035203,0.016221461,0.092711343,0.070167851,0.12043112,0.026185787,0,0.099788454,0,0,0,0.089,0.117472105,1.033482048,0.786338531
