Cell.Type	SymByEntrez
aDC	CCL1
aDC	EBI3
aDC	IDO1
aDC	LAMP3
aDC	OAS3
B cells	ABCB4
B cells	BACH2
B cells	BCL11A
B cells	BLK
B cells	BLNK
B cells	CCR9
B cells	CD19
B cells	CD72
B cells	COCH
B cells	CR2
B cells	DTNB
B cells	FCRL2
B cells	GLDC
B cells	GNG7
B cells	HLA-DOB
B cells	HLA-DQA1
B cells	IGHA1
B cells	IGHG1
B cells	IGHM
B cells	IGKC
B cells	IGL
B cells	KIAA0125
B cells	MEF2C
B cells	MICAL3
B cells	MS4A1
B cells	OSBPL10
B cells	PNOC
B cells	QRSL1
B cells	SCN3A
B cells	SLC15A2
B cells	SPIB
B cells	TCL1A
B cells	TNFRSF17
CD8 T cells	ABT1
CD8 T cells	AES
CD8 T cells	APBA2
CD8 T cells	ARHGAP8
CD8 T cells	MAPKAPK5-AS1
CD8 T cells	TMEM259
CD8 T cells	HAUS3
CD8 T cells	CAMLG
CD8 T cells	CD8A
CD8 T cells	CD8B
CD8 T cells	CDKN2AIP
CD8 T cells	DNAJB1
CD8 T cells	FLT3LG
CD8 T cells	GADD45A
CD8 T cells	GZMM
CD8 T cells	KLF9
CD8 T cells	LEPROTL1
CD8 T cells	LIME1
CD8 T cells	KAT6A
CD8 T cells	PF4
CD8 T cells	PPP1R2
CD8 T cells	PRF1
CD8 T cells	PRR5
CD8 T cells	RBM3
CD8 T cells	SF1
CD8 T cells	SRSF7
CD8 T cells	SLC16A7
CD8 T cells	TBCC
CD8 T cells	THUMPD1
CD8 T cells	TMC6
CD8 T cells	TSC22D3
CD8 T cells	VAMP2
CD8 T cells	ZEB1
CD8 T cells	ZFP36L2
CD8 T cells	ZNF22
CD8 T cells	ZNF609
CD8 T cells	ZNF91
Cytotoxic cells	APBA2
Cytotoxic cells	APOL3
Cytotoxic cells	CTSW
Cytotoxic cells	DUSP2
Cytotoxic cells	GNLY
Cytotoxic cells	GZMA
Cytotoxic cells	GZMH
Cytotoxic cells	KLRB1
Cytotoxic cells	KLRD1
